category,subcategory,goal,pledged,success
Music,Punk,1500.0,1622.0,True
Publishing,Literary Journals,1500.0,2025.0,True
Design,Design,200.0,309.0,True
Technology,Technology,1500.0,37414.0,True
Games,Games,4589.0,5713.0,True
Art,Painting,1000.0,21.0,False
Games,Mobile Games,25000.0,152.0,False
Games,video games,390000.0,202.0,False
Technology,3D Printing,5000.0,18.8,False
Music,World Music,4000.0,0.0,False
Design,Civic Design,50000.0,8506.0,False
Music,World Music,30000.0,21.0,False
Food,Food Trucks,15000.0,580.0,False
Film & Video,Action,16296.0,543.0,False
Publishing,Radio & Podcasts,600.0,706.0,True
Film & Video,Documentary,9001.0,9818.38,True
Theater,Musical,11000.0,0.0,False
Design,Typography,5000.0,841.0,False
Technology,Wearables,10000.0,209730.0,True
Food,Spaces,40000.0,40000.0,True
Design,Graphic Design,25.0,5250.0,True
Games,Mobile Games,10000.0,0.0,False
Publishing,Publishing,224.0,299.0,True
Fashion,Couture,1000.0,195.0,False
Dance,Dance,7000.0,1094.0,False
Music,Blues,2000.0,6905.0,True
Technology,Robots,5000.0,6452.0,True
Games,Live Games,1500.0,6882.0,True
Publishing,Literary Journals,10000.0,11012.0,True
Journalism,Journalism,2000.0,2003.0,True
Film & Video,Horror,8900.0,9426.0,True
Dance,Spaces,40000.0,10.0,False
Publishing,Anthologies,6000.0,505.0,False
Technology,Technology,12000.0,30047.0,True
Publishing,Calendars,300.0,10.0,False
Journalism,Audio,75000.0,130.0,False
Crafts,Pottery,4700.0,6780.0,True
Design,Product Design,15000.0,88407.0,True
Dance,Spaces,5000.0,220.0,False
Music,Faith,10000.0,10194.29,True
Design,Interactive Design,500.0,1095.0,True
Music,Country & Folk,9999.0,11200.37,True
Technology,DIY Electronics,5000.0,2.0,False
Journalism,Journalism,500.0,1275.0,True
Film & Video,Experimental,9250.0,0.0,False
Food,Restaurants,47296.0,79.0,False
Games,Playing Cards,50000.0,61.0,False
Film & Video,Television,57.0,250.0,True
Music,Hip-Hop,15000.0,18986.0,True
Crafts,Knitting,5309.0,0.0,False
Design,Toys,22800.0,24845.66,True
Dance,Residencies,4500.0,805.0,False
Journalism,Web,1200.0,0.0,False
Film & Video,Narrative Film,1500.0,4000.0,True
Crafts,Quilts,7725.0,12685.0,True
Film & Video,Comedy,2051.0,22.0,False
Photography,Places,250.0,25.0,False
Art,Textiles,420.0,1193.0,True
Publishing,Translations,3410.0,5183.0,True
Fashion,Accessories,250.0,1.0,False
Design,Typography,10000.0,50330.0,True
Design,Civic Design,115.0,224.0,True
Music,Blues,15000.0,15175.0,True
Dance,Performances,2500.0,280.0,False
Film & Video,Narrative Film,1000.0,1101.16,True
Theater,Immersive,1750.0,1905.0,True
Games,Video Games,27900.0,5486.0,False
Food,Restaurants,100000.0,7.0,False
Design,Design,1277.0,524.0,False
Comics,Graphic Novels,950.0,1067.0,True
Design,Architecture,33303.0,42.0,False
Art,Art,31890.0,34.0,False
Games,Puzzles,9973.0,20025.14,True
Film & Video,Narrative Film,5000.0,5160.0,True
Photography,Photography,150.0,529.0,True
Journalism,Journalism,15000.0,385.0,False
Games,Mobile Games,3000.0,136.0,False
Art,Social Practice,1800.0,2061.0,True
Art,Conceptual Art,2012.0,5378.0,True
Technology,Makerspaces,20000.0,2.0,False
Food,Farmer's Markets,7213.0,7721.0,True
Music,Electronic Music,380.0,425.0,True
Fashion,Couture,500.0,500.0,True
Crafts,DIY,2000.0,11.0,False
Crafts,Crafts,400.0,362.0,False
Crafts,Printing,200.0,678.0,True
Crafts,DIY,250.0,57.0,False
Technology,Web,30000.0,104983.42,True
Technology,Robots,18000.0,38355.0,True
Crafts,Quilts,3000.0,0.0,False
Crafts,Woodworking,300.0,962.0,True
Photography,Photography,10000.0,10132.0,True
Food,Restaurants,20000.0,100.0,False
Design,Product Design,65.0,273.0,True
Art,Ceramics,45000.0,50601.0,True
Theater,Comedy,800.0,800.0,True
Crafts,Crafts,3000.0,200.0,False
Publishing,Academic,5500.0,108.0,False
Games,Playing Cards,8000.0,4642.0,False
Fashion,Fashion,7000.0,0.0,False
Fashion,Footwear,5000.0,19570.0,True
Publishing,Nonfiction,3000.0,3340.0,True
Crafts,Crafts,1500.0,1.0,False
Publishing,Literary Journals,3000.0,85.0,False
Music,Country & Folk,3500.0,1201.0,False
Theater,Experimental,500.0,1250.0,True
Food,Drinks,45000.0,55.0,False
Film & Video,Movie Theaters,10000.0,360.0,False
Food,Farms,30000.0,30936.0,True
Publishing,Radio & Podcasts,6000.0,3490.0,False
Crafts,Candles,10021.0,1.0,False
Music,r&b,34590.0,5.0,False
Technology,Camera Equipment,9000.0,30126.0,True
Theater,Immersive,25000.0,229.0,False
Comics,Comic Books,999.0,15295.0,True
Music,Classical Music,7000.0,851.0,False
Crafts,Woodworking,5000.0,12033.0,True
Film & Video,Television,10000.0,155.0,False
Publishing,Comedy,0.0,0.0,False
Games,Video Games,8000.0,10071.0,True
Food,Cookbooks,9000.0,12462.0,True
Technology,Space Exploration,8000.0,51.0,False
Fashion,Apparel,600.0,611.0,True
Crafts,Crafts,1000.0,1056.0,True
Music,Jazz,11000.0,11938.0,True
Food,Food Trucks,3500.0,140.0,False
Food,Food,5000.0,5052.0,True
Dance,Dance,65000.0,585.0,False
Journalism,Web,500.0,626.0,True
Games,Gaming Hardware,5000.0,36665.0,True
Design,Graphic Design,2500.0,24463.6,True
Film & Video,Thrillers,6550.0,6623.0,True
Publishing,Literary Journals,1500.0,1609.0,True
comics,Graphic Novels,3000.0,90.0,False
Art,Installations,25000.0,1724.0,False
Film & Video,Action,1500.0,1600.0,True
Technology,Camera Equipment,1200.0,40.0,False
Crafts,Quilts,56340.0,0.0,False
Film & Video,Romance,3000.0,3479.0,True
Fashion,Pet Fashion,78.0,188.0,True
Film & Video,Science Fiction,1000.0,1000.0,True
Art,Digital Art,369.0,3427.0,True
Journalism,Journalism,1600.0,1752.0,True
Fashion,Ready-to-wear,250.0,0.0,False
Photography,Places,6000.0,7325.0,True
Games,Mobile Games,2200.0,2.29,False
Music,Blues,122000.0,3782.0,False
Technology,Fabrication Tools,15000.0,176.29,False
Film & Video,Science Fiction,450.0,485.0,True
Film & Video,Action,1432.0,1447.0,True
Film & Video,Fantasy,1200.0,1510.0,True
Comics,Comics,6500.0,11577.0,True
Crafts,Printing,3100.0,4428.0,True
Art,Painting,1700.0,305.0,False
Journalism,Audio,500.0,82.0,False
Food,Community Gardens,1000.0,1133.0,True
Photography,Places,200.0,301.0,True
Publishing,Children's Books,12000.0,12745.0,True
Theater,Experimental,2000.0,2011.0,True
Music,World Music,6037.0,144.0,False
Technology,3D Printing,5000.0,16882.0,True
Art,Installations,7000.0,7208.0,True
Publishing,Radio & Podcasts,3000.0,1450.0,False
Fashion,Accessories,2500.0,2628.32,True
Publishing,Periodicals,650.0,980.66,True
Film & Video,Drama,10000.0,10242.0,True
Fashion,Couture,1400.0,1400.0,True
Theater,Comedy,3000.0,3142.0,True
Publishing,Literary Spaces,1000.0,1181.0,True
Theater,Festivals,1000.0,1060.0,True
Technology,Fabrication Tools,50000.0,626599.0,True
Design,Civic Design,500000.0,23.0,False
Publishing,Literary Journals,8500.0,10680.0,True
Music,Kids,3500.0,150.0,False
Music,Faith,20000.0,53469.29,True
Theater,Experimental,5000.0,5056.0,True
Dance,Residencies,400.0,430.0,True
Art,Mixed Media,2000.0,2295.0,True
Dance,Workshops,50000.0,0.0,False
Food,Vegan,10000.0,11392.0,True
Technology,Camera Equipment,28000.0,60130.0,True
Technology,Sound,10000.0,12203.0,True
Music,Music,240.0,240.0,True
Crafts,Knitting,5000.0,1.0,False
Design,Toys,45000.0,11882.0,False
Crafts,Glass,12000.0,0.0,False
Journalism,Photo,35000.0,150.0,False
Publishing,Academic,38000.0,27140.0,False
Music,Hip-Hop,375.0,385.0,True
Fashion,Fashion,8170.0,31368.0,True
Art,Textiles,1000.0,0.0,False
Games,Playing Cards,6000.0,10952.0,True
Music,R&B,30000.0,30457.0,True
Art,Installations,5000.0,2555.0,False
Design,Interactive Design,4000.0,1.0,False
Design,Architecture,15000.0,15326.0,True
Publishing,Young Adult,1200.0,1200.0,True
Music,World Music,4759.0,255.0,False
Crafts,Quilts,2000.0,1.0,False
Film & Video,Experimental,10000.0,10742.0,True
Crafts,Knitting,10000.0,1.0,False
Design,Interactive Design,2000.0,0.0,False
Food,Restaurants,5000.0,1666.0,False
Music,Punk,200.0,1019.66,True
Photography,Animals,800.0,186.0,False
Dance,Residencies,1200.0,2.0,False
Film & Video,Experimental,550.0,46.0,False
Publishing,Anthologies,11000.0,211.0,False
Games,video games,3500.0,0.0,False
Photography,Photobooks,10000.0,11624.0,True
Games,Gaming Hardware,50000.0,25.0,False
Technology,Robots,693.0,845.0,True
Technology,Makerspaces,25000.0,12211.0,False
Film & Video,Movie Theaters,100000.0,3981.0,False
Technology,Software,10000.0,0.0,False
Art,Installations,30000.0,32311.0,True
Publishing,Radio & Podcasts,10000.0,1115.0,False
Crafts,Knitting,1000.0,64.0,False
Photography,Animals,5000.0,5002.0,True
Technology,Gadgets,178300.0,1016.0,False
Film & Video,Science Fiction,4705.0,6121.0,True
Music,Jazz,4000.0,5050.0,True
Photography,Animals,8750.0,13720.29,True
Music,Music,2500.0,226.0,False
Music,Rock,16500.0,200.0,False
Journalism,Photo,16000.0,16180.0,True
Film & Video,Animation,3900.0,4310.0,True
Design,Interactive Design,10000.0,1166.0,False
Photography,Fine Art,7500.0,0.0,False
Publishing,Anthologies,3000.0,1488.0,False
Dance,Residencies,8000.0,0.0,False
Dance,Dance,3000.0,3335.0,True
Dance,Performances,6000.0,6339.0,True
Art,Mixed Media,30000.0,341.0,False
Dance,Residencies,2500.0,2541.0,True
Food,Farmer's Markets,1000.0,1611.29,True
Photography,People,4000.0,1.0,False
Music,Country & Folk,2500.0,2565.0,True
Fashion,Apparel,3500.0,458.0,False
Photography,Fine Art,34260.0,35420.0,True
Games,Video Games,30000.0,4477.0,False
Technology,Sound,50000.0,701.0,False
Photography,Photography,15000.0,15000.0,True
Music,Music,10000.0,0.0,False
Music,Indie Rock,2500.0,2805.0,True
Publishing,Letterpress,36000.0,202.0,False
Theater,Comedy,5000.0,251.0,False
Music,Blues,20000.0,25160.0,True
Crafts,Crafts,736.0,0.0,False
Journalism,Photo,500.0,516.0,True
Technology,Technology,15000.0,73040.0,True
Games,Tabletop Games,500.0,2599.0,True
Film & Video,webseries,3500.0,307.81,False
Art,Ceramics,500.0,790.0,True
Games,playing cards,8000.0,2728.0,False
Publishing,Young Adult,3200.0,5612.0,True
Photography,Fine Art,149.0,529.0,True
Design,Architecture,10000.0,11325.0,True
Technology,Gadgets,5000.0,62088.0,False
Technology,Fabrication Tools,5000.0,13886.0,True
Crafts,Pottery,30000.0,234809.0,True
Publishing,Literary Journals,3000.0,3435.0,True
Photography,Photography,4000.0,4136.0,True
Fashion,Accessories,400.0,450.0,True
Publishing,Anthologies,8700.0,80610.0,True
Games,Mobile Games,1000.0,11.0,False
Film & Video,Television,7000.0,7645.0,True
Art,Installations,12000.0,1350.0,False
Film & Video,Comedy,10000.0,521.0,False
Art,Digital Art,40000.0,16816.71,False
Food,Bacon,50.0,1.0,False
